,"Tadten <10720>",107,,122,,40,,145,,249,,309,,146,,14,,19,,8,,36,,17,,9,,1,,1,,3,,2,,5,,3,,5,,-,,
,"Wallern im Burgenland <10721>",161,,179,,64,,294,,355,,375,,198,,12,,10,,2,,18,,17,,10,,1,,1,,3,,2,,3,,4,,4,,-,,
,"Weiden am See <10722>",331,,263,,92,,400,,554,,518,,262,,36,,24,,10,,60,,53,,22,,7,,21,,16,,4,,22,,12,,13,,-,,
,"Winden am See <10723>",167,,175,,69,,225,,314,,272,,121,,22,,17,,5,,29,,23,,9,,3,,3,,2,,1,,8,,2,,1,,1,,
,"Zurndorf <10724>",225,,243,,83,,320,,430,,453,,243,,83,,20,,9,,103,,67,,33,,10,,14,,5,,-,,17,,9,,3,,1,,
,"Deutschkreutz <10801>",334,,367,,123,,466,,652,,713,,363,,43,,27,,13,,49,,51,,14,,8,,31,,17,,9,,21,,15,,8,,1,,
,"Draßmarkt <10802>",132,,189,,61,,173,,318,,288,,154,,23,,18,,7,,35,,16,,11,,2,,1,,4,,4,,1,,3,,1,,2,,
,"Frankenau-Unterpullendorf <10803>",93,,118,,32,,135,,232,,268,,137,,6,,13,,4,,16,,16,,14,,2,,7,,9,,2,,10,,8,,5,,1,,
,"Großwarasdorf <10804>",108,,121,,39,,156,,266,,375,,191,,14,,13,,6,,24,,35,,24,,5,,8,,3,,-,,13,,6,,2,,-,,
,"Horitschon <10805>",215,,196,,71,,290,,372,,434,,155,,10,,7,,4,,16,,30,,8,,2,,17,,24,,4,,30,,11,,3,,1,,
,"Kaisersdorf <10806>",69,,73,,31,,90,,145,,111,,66,,6,,8,,5,,8,,12,,4,,1,,2,,-,,-,,1,,1,,1,,1,,
,"Kobersdorf <10807>",234,,243,,97,,307,,454,,384,,184,,3,,7,,2,,16,,19,,3,,2,,4,,7,,4,,12,,11,,2,,1,,
,"Lackenbach <10808>",118,,121,,48,,192,,219,,259,,139,,15,,6,,3,,31,,15,,18,,5,,-,,5,,2,,5,,6,,6,,-,,
